Category,Name,Japanese,Meaning,URL,URL 1,URL 2,Source File,Image,Image 1,Image 2
Tackle,Squeeze,タックル時の相手を掴む動作,Arm wrap & squeeze on the ball carrier,https://app.box.com/s/209mggpygrsiu5c8hw5rlh8apqunn09x,,,Tackle 358ba015600d80c58fb6c7bb23ef2a4e_all.csv,,,
Tackle,Doubles,ChopとTopタックル,Chop & Top,https://app.box.com/s/bj9g2sr9upgnt7n9de0cx833ln6qu5cj,,,Tackle 358ba015600d80c58fb6c7bb23ef2a4e_all.csv,,,
Tackle,2 in Fight,Doublesからブレイクダウンへプレッシャー,Doubles > Put pressure on Breakdown,https://app.box.com/s/0xohhs7vt4fjw5k9jixq518oo8y0z61s,,,Tackle 358ba015600d80c58fb6c7bb23ef2a4e_all.csv,,,
Tackle,Komata,タックル時に体重を後ろへかけず、身体の下で足を動かす,Steady feet into contact keeping them underneath you,https://app.box.com/s/un8tsnv3doj7gawci7lc0u6q4gs2dj25,,,Tackle 358ba015600d80c58fb6c7bb23ef2a4e_all.csv,,,
Tackle,Step in,タックルに入るときのフットワーク,Footwork into the tackle,https://app.box.com/s/rp73489qu5nx87iwveb0vdatkm46w5bx,,,Tackle 358ba015600d80c58fb6c7bb23ef2a4e_all.csv,,,
Tackle,Finish on Top,アタッカーの上に倒れる　脚を地面に噛ませる,Body on top of the attacker - studs in the ground.,,,,Tackle 358ba015600d80c58fb6c7bb23ef2a4e_all.csv,,,
Tackle,BIFF,身体と足を正面に入れる,"Stay in front, feet & body",https://app.box.com/s/209mggpygrsiu5c8hw5rlh8apqunn09x,,,Tackle 358ba015600d80c58fb6c7bb23ef2a4e_all.csv,,,
Tackle,Ikki,グラウンドからすぐに立ち上がる,Bounce up from the ground,https://app.box.com/s/ii06be87muj78jr02zj5r13bp9b5wbjz,,,Tackle 358ba015600d80c58fb6c7bb23ef2a4e_all.csv,,,
Transition Attack,Drag,キックリターン パスして、戻る,Kick Return > Pass and Return,,,,Transition Attack 358ba015600d807887d9e1981e860458_all.csv,,,
Transition Attack,Tower,20m ラック,20 metre Ruck,,,,Transition Attack 358ba015600d807887d9e1981e860458_all.csv,,,
